State/UT,District,Year,Murder,Attempt_To_Murder,Culpable_Homicide_Not_Amounting_To_Murder,Rape,Kidnapping_And_Abduction_Of_Women_And_Girls,Kidnapping_And_Abduction_Of_Others,Dacoity,Robbery,Burglary,Auto_Theft,Other_Theft,Riots,Criminal_Breach_Of_Trust,Cheating,Counterfieting,Arson,Hurt/Grevious_Hurt,Dowry_Deaths,Assault_On_Women_With_Intent_To_Outrage_Her_Modesty,Insult_To_Modesty_Of_Women,Cruelty_By_Husband_Or_His_Relatives,Causing_Death_By_Negligence,Other_Ipc_Crimes,Total_Ipc_Crimes,Total_Crimes
Andaman & Nicobar Islands,Andaman,2001,13,0,0,3,2,0,0,4,62,4,61,13,10,8,2,4,113,0,18,1,9,0,310,637,3275
Andaman & Nicobar Islands,Nicobar,2001,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,1,0,0,0,13,21,2043
Andaman & Nicobar Islands,Andaman,2002,14,3,0,1,1,1,1,7,47,2,44,11,4,11,0,2,92,0,16,3,4,0,316,580,3162
Andaman & Nicobar Islands,Nicobar,2002,3,0,1,1,0,0,0,0,2,0,3,0,0,0,0,0,5,0,1,0,0,0,12,28,2058
Andaman & Nicobar Islands,Andaman,2003,16,4,1,2,2,0,1,7,56,3,55,19,1,13,0,7,107,0,9,2,7,0,299,611,3225
Andaman & Nicobar Islands,Nicobar,2003,5,0,0,0,0,0,1,0,0,0,2,0,2,0,0,1,3,0,0,0,0,0,19,33,2069
Andaman & Nicobar Islands,Andaman,2004,13,1,2,10,3,0,0,3,67,9,91,9,0,11,0,8,102,0,5,3,5,6,373,721,3446
Andaman & Nicobar Islands,Nicobar,2004,2,0,0,0,0,0,0,0,2,0,3,0,0,1,0,1,3,0,1,0,0,0,14,27,2058
Andaman & Nicobar Islands,Andaman,2005,14,3,3,4,1,1,0,4,67,6,82,4,8,13,0,6,77,0,10,1,5,3,354,666,3337
Andaman & Nicobar Islands,Nicobar,2005,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,2,0,1,0,0,0,8,16,2037
Andaman & Nicobar Islands,Andaman,2006,3,4,1,6,5,0,0,5,81,6,94,10,3,15,4,9,73,0,12,4,7,2,311,655,3316
Andaman & Nicobar Islands,Nicobar,2006,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0,2,0,0,0,11,21,2048
Andaman & Nicobar Islands,Andaman,2007,15,19,1,3,9,3,5,9,90,8,104,17,7,23,1,11,99,1,21,2,18,4,337,807,3621
Andaman & Nicobar Islands,Andaman,2008,8,10,2,12,13,3,0,14,72,11,114,16,12,19,1,15,105,2,24,3,25,4,374,859,3726
Andaman & Nicobar Islands,Nicobar,2008,0,1,0,0,0,1,0,0,6,0,3,0,0,0,0,0,2,0,0,0,1,0,9,23,2054
Andaman & Nicobar Islands,Andaman,2009,15,4,3,18,14,2,0,11,83,10,124,11,6,19,2,12,87,1,29,7,21,2,440,921,3851
Andaman & Nicobar Islands,Nicobar,2009,0,0,1,0,0,0,0,0,3,0,0,0,1,1,0,0,2,0,1,0,0,0,11,20,2049
Andaman & Nicobar Islands,Andaman,2010,8,7,4,23,8,2,1,7,77,22,94,11,10,56,0,11,77,0,31,10,9,9,479,956,3922
Andaman & Nicobar Islands,Nicobar,2010,1,0,0,1,0,0,0,0,3,0,5,0,0,0,0,1,3,0,0,0,0,0,10,24,2058
Andaman & Nicobar Islands,Andaman,2011,14,5,2,13,12,3,1,1,96,4,82,11,3,31,0,6,77,0,14,3,5,6,382,771,3553
Andaman & Nicobar Islands,Nicobar,2011,0,1,0,0,0,0,0,0,3,0,2,0,0,1,0,0,4,0,1,0,0,0,10,22,2055
Andaman & Nicobar Islands,Car,2012,2,0,0,0,1,0,1,0,0,0,4,0,0,2,0,0,4,0,1,0,0,1,8,24,2060
Andaman & Nicobar Islands,North,2012,5,0,0,4,0,0,0,1,6,0,13,0,0,3,0,0,8,0,2,1,2,0,70,115,2242
Andaman & Nicobar Islands,South,2012,8,3,0,8,6,1,4,1,65,0,54,8,5,26,1,4,50,2,14,3,3,5,273,544,3100
Andhra Pradesh,Adilabad,2001,101,60,17,50,30,16,9,41,198,22,177,78,16,104,1,30,1131,16,149,34,175,181,1518,4154,10309
Andhra Pradesh,Anantapur,2001,151,125,1,23,30,23,8,16,191,57,309,168,11,65,8,69,1543,7,118,24,154,270,754,4125,10251
Andhra Pradesh,Chittoor,2001,101,57,2,27,34,25,4,14,237,164,559,156,33,209,9,38,2088,14,112,83,186,404,1262,5818,13637
Andhra Pradesh,Cuddapah,2001,80,53,1,20,20,5,1,4,98,36,137,164,12,37,2,23,795,17,126,38,57,233,1181,3140,8281
Andhra Pradesh,East Godavari,2001,82,67,1,23,26,23,4,25,437,150,871,70,50,220,3,41,1244,12,109,58,247,431,2313,6507,15015
Andhra Pradesh,Guntakal Rly.,2001,3,1,0,0,0,0,5,2,0,0,162,1,0,0,3,0,1,0,1,0,0,4,104,287,2575
Andhra Pradesh,Guntur,2001,182,88,2,54,51,31,16,59,338,171,951,244,67,300,8,43,1792,7,139,129,378,369,2426,7848,17694
Andhra Pradesh,Hyderabad City,2001,111,113,7,37,39,41,13,67,1155,1128,1664,65,101,1293,24,0,3137,24,118,27,746,409,1512,11831,25663
Andhra Pradesh,Karimnagar,2001,162,85,6,56,49,18,27,50,218,54,338,220,25,243,5,33,1392,62,414,81,224,322,1726,5811,13622
Andhra Pradesh,Khammam,2001,93,60,1,47,30,11,1,13,172,34,334,153,35,130,5,73,1026,17,180,336,172,209,1450,4582,11165
Andhra Pradesh,Krishna,2001,65,51,0,37,21,15,3,15,163,27,451,70,24,104,1,62,1985,10,208,72,265,268,862,4779,11559
Andhra Pradesh,Kurnool,2001,133,72,4,29,47,0,6,22,155,6,291,84,6,126,2,5,1547,13,141,107,92,292,1401,4581,11163
Andhra Pradesh,Mahaboobnagar,2001,157,67,26,59,27,15,8,27,249,33,283,157,22,84,0,0,867,14,176,41,69,280,2158,4819,11639
Andhra Pradesh,Medak,2001,101,56,12,35,20,6,27,26,219,36,250,100,17,87,4,37,1367,26,100,25,192,335,454,3532,9065
Andhra Pradesh,Nalgonda,2001,122,60,1,35,19,8,6,28,133,43,275,220,13,122,8,72,1132,31,188,59,214,432,1781,5002,12005
Andhra Pradesh,Nellore,2001,89,69,5,46,80,10,12,16,244,72,536,97,20,177,3,65,1119,10,207,228,287,266,1585,5245,12489
Andhra Pradesh,Nizamabad,2001,106,49,14,21,21,17,7,22,158,48,186,51,61,122,1,30,1383,19,55,15,228,220,787,3621,9243
Andhra Pradesh,Prakasham,2001,102,82,3,19,12,19,15,14,147,33,245,138,16,88,1,43,1266,5,140,100,119,263,808,3678,9357
Andhra Pradesh,Ranga Reddy,2001,214,95,16,72,83,23,24,78,1076,347,949,65,67,527,3,67,2829,37,113,55,421,593,2103,9867,21725
Andhra Pradesh,Secunderabad Rly.,2001,6,0,0,0,0,0,0,10,2,0,296,1,2,4,25,0,17,1,0,1,0,6,68,439,2879
Andhra Pradesh,Srikakulam,2001,38,10,4,8,12,0,1,4,118,1,230,70,18,53,0,34,679,6,38,47,108,167,926,2572,7145
Andhra Pradesh,Vijayawada,2001,53,44,5,25,48,22,3,27,491,264,1793,19,34,614,10,17,1578,2,84,122,520,234,724,6733,15467
Andhra Pradesh,Vijayawada Rly.,2001,2,1,0,1,0,0,0,1,0,0,265,1,2,3,6,0,9,0,1,1,0,2,25,320,2641
Andhra Pradesh,Visakha Rural,2001,58,29,0,12,12,0,4,3,76,0,165,138,19,39,3,31,1476,3,67,48,99,216,685,3183,8367
Andhra Pradesh,Visakhapatnam,2001,22,10,1,13,6,7,1,5,323,172,458,9,37,192,3,15,325,0,33,462,204,196,928,3422,8845
Andhra Pradesh,Vizianagaram,2001,33,14,1,8,2,6,0,2,99,0,144,36,11,41,2,12,529,0,40,22,121,175,880,2178,6357
Andhra Pradesh,Warangal,2001,158,79,5,53,25,56,2,23,266,79,339,330,6,137,2,0,1718,52,241,0,165,269,2314,6319,14639
Andhra Pradesh,West Godavari,2001,77,58,1,61,21,20,7,15,257,74,1042,96,63,270,2,32,972,15,246,56,348,354,1609,5696,13393
Andhra Pradesh,Adilabad,2002,100,79,17,37,32,10,7,40,193,32,194,80,25,135,0,38,1181,20,174,63,240,225,1753,4675,11352
Andhra Pradesh,Anantapur,2002,166,113,7,28,49,16,13,21,196,59,297,135,37,109,5,57,1752,9,179,37,151,312,719,4467,10936
Andhra Pradesh,Chittoor,2002,105,66,5,28,39,28,4,14,208,200,632,71,57,172,1,43,999,16,126,40,188,476,2788,6306,14614
Andhra Pradesh,Cuddapah,2002,91,0,9,16,22,5,1,11,84,47,158,92,14,52,3,20,788,21,100,36,63,275,1416,3324,8650
Andhra Pradesh,East Godavari,2002,97,102,2,25,5,50,3,12,468,213,993,100,89,262,13,40,3076,11,108,73,276,473,1440,7931,17864
Andhra Pradesh,Guntakal Rly.,2002,0,0,0,1,0,0,0,2,0,0,148,0,0,0,5,0,5,0,3,0,0,4,142,310,2622
Andhra Pradesh,Guntur,2002,143,77,1,46,71,16,12,53,357,150,1032,144,65,346,10,38,1760,13,186,85,434,404,2440,7883,17768
Andhra Pradesh,Hyderabad City,2002,117,109,3,57,61,54,11,68,1348,1224,2553,128,127,1734,21,8,3714,24,138,123,590,440,1759,14413,30826
Andhra Pradesh,Karimnagar,2002,160,88,6,99,42,20,18,60,216,94,310,191,44,357,2,52,2671,45,357,125,209,416,1504,7086,16174
Andhra Pradesh,Khammam,2002,106,55,1,48,55,15,5,11,164,79,352,107,76,219,1,52,2204,13,191,375,324,276,917,5646,13294
Andhra Pradesh,Krishna,2002,92,66,3,41,21,5,1,4,242,32,511,49,19,146,3,42,1940,14,211,110,374,278,1114,5318,12638
Andhra Pradesh,Kurnool,2002,124,98,1,45,24,30,8,17,134,16,292,76,12,185,8,16,1458,11,166,115,167,520,1161,4684,11370
Andhra Pradesh,Mahaboobnagar,2002,171,84,31,85,36,21,5,39,241,41,398,140,24,91,6,74,906,31,202,42,225,353,2108,5354,12710
Andhra Pradesh,Medak,2002,103,50,20,68,38,8,18,35,272,39,317,64,22,105,2,57,1612,25,103,28,251,417,554,4208,10418
Andhra Pradesh,Nalgonda,2002,109,53,8,41,37,9,5,18,167,45,276,87,26,184,6,78,1139,37,232,67,210,490,1966,5290,12582
Andhra Pradesh,Nellore,2002,84,93,4,46,54,13,12,23,209,68,474,46,39,157,4,58,1223,10,206,226,289,290,1612,5240,12482
Andhra Pradesh,Nizamabad,2002,93,42,12,35,21,8,13,30,179,66,272,46,33,138,1,39,1934,17,71,24,278,274,791,4417,10836
Andhra Pradesh,Prakasham,2002,67,79,2,21,25,7,12,13,132,45,214,124,27,86,4,48,1153,5,156,18,142,248,1008,3636,9274
Andhra Pradesh,Ranga Reddy,2002,214,107,12,49,70,34,22,62,1009,452,998,61,88,597,4,81,3224,51,143,93,508,774,1948,10602,23205
Andhra Pradesh,Secunderabad Rly.,2002,12,0,1,0,0,0,0,3,3,0,350,0,2,2,23,0,8,0,0,0,0,0,40,444,2890
Andhra Pradesh,Srikakulam,2002,27,9,2,14,9,1,2,2,100,13,222,28,24,58,2,28,641,4,60,16,114,171,939,2486,6974
Andhra Pradesh,Vijayawada,2002,39,49,3,31,43,35,3,56,723,278,2530,5,34,784,6,42,1950,9,119,171,869,247,1057,9083,20168
Andhra Pradesh,Vijayawada Rly.,2002,3,0,0,1,0,1,0,1,0,2,326,0,0,5,7,0,10,0,2,0,2,3,47,410,2822
Andhra Pradesh,Visakha Rural,2002,54,25,0,14,0,7,4,4,97,0,195,36,24,40,0,21,717,2,65,41,85,237,1001,2669,7340
Andhra Pradesh,Visakhapatnam,2002,20,15,1,8,10,5,1,7,250,173,400,13,27,240,5,6,375,3,28,18,235,179,819,2838,7678
Andhra Pradesh,Vizianagaram,2002,28,22,1,12,0,9,3,3,105,0,171,9,13,51,0,6,471,1,38,25,190,147,1127,2432,6866
Andhra Pradesh,Warangal,2002,131,72,11,52,58,14,7,20,245,56,357,240,41,175,5,0,1812,45,212,0,157,317,2370,6397,14796
Andhra Pradesh,West Godavari,2002,69,91,2,54,32,27,7,19,286,120,706,68,61,303,8,47,1116,12,223,73,447,445,1845,6061,14124
Andhra Pradesh,Adilabad,2003,107,65,11,35,16,30,8,24,207,35,249,98,19,146,1,42,1194,11,141,39,238,248,1917,4881,11765
Andhra Pradesh,Anantapur,2003,173,115,9,19,45,15,4,17,190,90,268,144,33,84,10,40,1873,4,224,45,146,306,728,4582,11167
Andhra Pradesh,Chittoor,2003,109,80,1,36,34,56,5,18,304,142,759,66,47,292,22,27,1049,23,121,173,60,522,2678,6624,15251
Andhra Pradesh,Cuddapah,2003,95,7,4,10,28,9,4,9,109,33,166,74,17,65,8,35,815,5,104,31,60,267,1492,3447,8897
Andhra Pradesh,Cyberabad,2003,155,101,4,31,62,40,14,56,1041,291,1198,49,67,691,8,45,1203,25,96,78,543,787,3719,10305,22612
Andhra Pradesh,East Godavari,2003,73,78,2,18,35,24,4,17,569,178,984,79,83,252,21,71,2918,11,150,110,357,424,1158,7616,17235
Andhra Pradesh,Guntakal Rly.,2003,4,0,0,1,1,0,0,5,0,0,209,0,0,0,6,0,9,0,2,0,0,2,129,368,2739
Andhra Pradesh,Guntur,2003,210,84,2,46,77,18,16,28,316,228,945,124,82,368,12,69,1633,22,228,99,399,411,2298,7715,17433
Andhra Pradesh,Hyderabad City,2003,124,132,5,57,64,91,18,91,1875,2195,4379,231,158,2093,21,68,4595,42,165,296,1082,489,1980,20252,42506
Andhra Pradesh,Karimnagar,2003,153,105,11,88,67,22,12,43,261,18,442,180,46,376,10,48,2771,53,362,132,602,363,1542,7709,17419
Andhra Pradesh,Khammam,2003,89,44,6,45,35,6,6,8,211,86,278,120,32,144,8,45,2246,17,162,246,180,339,826,5179,12361
Andhra Pradesh,Krishna,2003,66,65,3,45,16,39,2,12,233,37,564,50,28,170,13,48,1992,20,186,107,317,245,1025,5283,12569
Andhra Pradesh,Kurnool,2003,125,101,4,28,16,19,8,24,146,18,244,88,18,196,17,34,1113,11,231,131,202,249,1752,4775,11553
Andhra Pradesh,Mahaboobnagar,2003,191,108,22,69,33,13,5,33,270,39,413,117,32,104,9,69,931,19,179,36,238,247,2213,5390,12783
Andhra Pradesh,Medak,2003,124,36,16,30,37,15,10,50,300,75,427,84,20,100,6,60,1848,44,128,37,174,403,794,4818,11639
Andhra Pradesh,Nalgonda,2003,142,68,5,62,37,12,9,24,165,71,283,177,31,154,4,46,1258,33,249,51,319,448,2003,5651,13305
Andhra Pradesh,Nellore,2003,80,70,1,27,58,5,2,12,232,89,480,67,25,172,10,67,1898,10,204,97,231,321,1792,5952,13905
Andhra Pradesh,Nizamabad,2003,90,49,20,29,7,28,7,32,241,38,294,52,22,182,10,36,2135,11,61,32,329,256,710,4674,11348
Andhra Pradesh,Prakasham,2003,94,36,5,22,31,11,9,19,143,59,287,38,22,101,7,26,1450,13,133,149,114,246,705,3720,9443
Andhra Pradesh,Ranga Reddy,2003,65,30,3,14,14,9,0,10,135,2,132,32,5,47,0,35,837,12,71,12,113,128,274,1980,5963
Andhra Pradesh,Secunderabad Rly.,2003,10,0,0,0,0,0,4,5,0,0,413,6,0,2,26,0,7,0,0,0,0,0,63,536,3075
Andhra Pradesh,Srikakulam,2003,39,32,4,9,4,4,7,4,102,20,147,43,25,71,2,24,654,7,58,44,147,215,1001,2663,7329
Andhra Pradesh,Vijayawada,2003,34,58,0,27,45,18,5,61,876,351,3066,17,54,816,27,21,2101,7,170,146,1208,249,727,10084,22171
Andhra Pradesh,Vijayawada Rly.,2003,0,0,0,0,0,0,0,2,0,2,358,0,0,6,2,1,11,0,0,3,0,9,36,430,2863
Andhra Pradesh,Visakha Rural,2003,61,5,1,15,15,0,0,6,115,0,194,30,15,58,6,35,654,3,54,16,89,227,999,2599,7200
Andhra Pradesh,Visakhapatnam,2003,19,21,0,9,20,10,4,5,281,174,358,1,81,290,24,3,362,3,11,30,146,195,1214,3261,8525
Andhra Pradesh,Vizianagaram,2003,30,16,1,6,0,3,1,8,106,1,133,13,25,33,5,0,436,4,34,25,127,162,981,2150,6303
Andhra Pradesh,Warangal,2003,128,80,3,61,69,34,6,23,293,133,319,276,43,224,11,0,1821,35,222,0,162,334,2550,6827,15657
Andhra Pradesh,West Godavari,2003,77,92,4,107,65,23,6,14,329,116,898,72,69,344,12,54,1731,21,382,121,584,423,1936,7480,16963
Andhra Pradesh,Adilabad,2004,113,83,11,50,42,6,4,9,177,46,210,88,34,152,5,30,1266,14,135,71,296,271,1898,5011,12026
Andhra Pradesh,Anantapur,2004,152,79,5,20,31,20,8,35,208,199,243,143,24,119,2,51,1142,11,196,50,147,299,1112,4296,10596
Andhra Pradesh,Chittoor,2004,105,52,1,28,27,42,8,17,337,221,834,82,26,267,3,30,1065,22,116,197,234,2058,1188,6960,15924
Andhra Pradesh,Cuddapah,2004,96,58,0,14,31,8,3,5,111,68,207,74,16,120,1,37,1153,7,118,49,120,317,1494,4107,10218
Andhra Pradesh,Cyberabad,2004,145,74,8,40,69,0,12,43,941,405,1292,32,29,647,6,21,2922,43,106,85,517,788,1686,9911,21826
Andhra Pradesh,East Godavari,2004,96,101,1,31,23,24,3,17,392,171,935,105,86,251,12,23,3023,13,112,105,293,473,1451,7741,17486
Andhra Pradesh,Guntakal Rly.,2004,8,1,0,0,0,0,1,1,0,0,177,0,0,2,5,0,7,0,1,0,0,2,133,338,2680
Andhra Pradesh,Guntur,2004,163,96,0,46,60,28,5,36,349,110,1369,133,44,405,9,58,1714,32,186,104,397,437,2763,8544,19092
Andhra Pradesh,Hyderabad City,2004,121,135,1,56,62,74,11,71,1359,2078,3657,141,110,2160,19,37,4837,29,144,206,1142,482,1932,18868,39736
Andhra Pradesh,Karimnagar,2004,123,93,9,85,98,26,7,25,236,75,465,184,55,444,12,64,2902,61,370,155,717,360,1482,8048,18100
Andhra Pradesh,Khammam,2004,108,52,4,43,46,24,6,23,242,85,397,122,37,166,0,45,1136,18,176,310,400,352,2136,5928,13860
Andhra Pradesh,Krishna,2004,60,57,1,33,13,15,4,13,197,31,701,53,16,162,8,31,2070,13,182,108,362,243,1004,5377,12758
Andhra Pradesh,Kurnool,2004,112,96,3,29,32,14,5,15,179,101,227,125,22,221,6,48,1271,6,242,157,230,357,1874,5372,12748
Andhra Pradesh,Mahaboobnagar,2004,183,87,23,56,52,11,15,36,290,2,477,171,38,109,7,40,902,21,164,10,251,522,1078,4545,11094
Andhra Pradesh,Medak,2004,127,36,10,52,32,17,10,19,257,88,417,53,33,139,11,55,1888,41,86,54,229,449,686,4789,11582
Andhra Pradesh,Nalgonda,2004,118,59,5,46,57,15,4,26,205,83,318,115,26,156,5,69,1368,34,200,66,272,528,2234,6009,14022
Andhra Pradesh,Nellore,2004,94,248,13,107,55,17,49,40,421,219,654,263,24,307,2,62,1919,11,173,88,142,516,1623,7047,16098
Andhra Pradesh,Nizamabad,2004,96,54,27,24,19,37,14,29,349,36,324,81,20,174,3,40,1856,17,74,46,339,247,898,4804,11612
Andhra Pradesh,Prakasham,2004,103,93,4,19,37,7,8,22,158,94,204,45,24,116,3,27,1473,6,130,24,146,296,842,3881,9766
Andhra Pradesh,Ranga Reddy,2004,73,39,6,25,22,4,0,11,170,20,185,42,5,41,1,60,883,17,49,15,136,125,311,2240,6484
Andhra Pradesh,Secunderabad Rly.,2004,8,4,0,0,0,0,0,0,1,0,367,2,0,2,28,0,10,2,1,0,2,0,38,465,2934
Andhra Pradesh,Srikakulam,2004,26,30,14,15,13,2,2,3,108,0,196,26,24,79,1,5,699,14,58,11,165,576,754,2821,7646
Andhra Pradesh,Vijayawada,2004,46,43,1,19,43,33,4,29,555,356,1916,12,27,531,6,17,2218,10,132,196,678,240,547,7659,17322
Andhra Pradesh,Vijayawada Rly.,2004,1,1,0,0,0,0,0,1,0,2,286,7,3,3,3,0,10,0,6,0,1,0,35,359,2722
Andhra Pradesh,Visakha Rural,2004,50,18,1,18,12,0,2,6,79,4,180,62,10,64,1,17,1124,3,54,30,94,274,800,2903,7810
Andhra Pradesh,Visakhapatnam,2004,27,27,3,12,16,11,1,12,333,176,557,3,62,280,2,8,374,1,24,43,243,183,784,3182,8368
Andhra Pradesh,Vizianagaram,2004,42,17,2,14,7,1,4,8,106,0,196,15,16,62,0,0,403,6,53,26,155,186,1145,2464,6932
Andhra Pradesh,Warangal,2004,111,67,7,53,88,37,9,31,352,175,495,304,9,400,6,0,1902,43,228,0,162,434,2804,7717,17438
Andhra Pradesh,West Godavari,2004,72,108,3,81,43,23,0,13,345,197,1050,57,78,349,8,40,1798,17,301,104,518,437,1728,7370,16744
Andhra Pradesh,Adilabad,2005,108,48,13,53,46,19,9,20,191,53,276,68,13,173,4,30,1273,21,144,77,280,276,1838,5033,12071
Andhra Pradesh,Anantapur,2005,172,125,3,16,30,30,17,21,178,203,236,102,15,96,7,59,1007,12,173,57,137,349,1500,4545,11095
Andhra Pradesh,Chittoor,2005,105,40,0,35,58,14,9,24,281,87,1182,87,32,222,10,30,891,9,91,223,202,541,2573,6746,15497
Andhra Pradesh,Cuddapah,2005,96,0,0,21,31,5,9,11,152,79,218,66,21,114,7,34,783,7,116,18,95,343,1846,4072,10149
Andhra Pradesh,Cyberabad,2005,150,88,10,44,58,93,26,95,1139,563,1724,44,83,950,5,37,3033,34,119,96,701,898,2086,12079,26160
Andhra Pradesh,East Godavari,2005,110,130,0,27,3,66,3,28,403,210,1076,98,119,265,24,35,2530,15,102,119,368,545,1986,8262,18529
Andhra Pradesh,Guntakal Rly.,2005,12,0,0,0,1,0,1,4,0,0,129,1,0,5,0,0,5,4,1,0,0,1,61,225,2455
Andhra Pradesh,Guntur,2005,165,88,1,55,56,31,14,35,293,267,999,110,47,412,14,61,1480,16,166,203,366,495,2362,7736,17477
Andhra Pradesh,Hyderabad City,2005,108,130,4,67,70,67,8,125,1161,2012,3010,96,94,1880,17,40,4227,27,119,348,1309,514,1840,17276,36554
Andhra Pradesh,Karimnagar,2005,164,96,1,84,91,40,10,37,310,16,724,174,61,630,3,65,2936,52,328,143,839,357,1714,8875,19755
Andhra Pradesh,Khammam,2005,110,69,3,21,40,26,9,25,208,96,471,151,30,166,5,48,1065,14,150,240,313,394,2103,5757,13519
Andhra Pradesh,Krishna,2005,69,74,0,27,26,19,3,17,155,64,589,44,17,202,4,45,2176,11,209,104,337,318,825,5335,12675
Andhra Pradesh,Kurnool,2005,140,95,6,29,30,12,16,16,179,87,286,125,13,242,12,28,1159,9,221,124,233,369,1835,5266,12537
Andhra Pradesh,Mahaboobnagar,2005,212,102,16,62,47,12,21,43,277,56,519,112,20,107,8,57,1713,17,140,7,237,536,1303,5624,13253
Andhra Pradesh,Medak,2005,133,45,10,36,27,11,15,24,213,77,347,32,22,108,14,35,1478,28,88,35,209,462,575,4024,10053
Andhra Pradesh,Nalgonda,2005,138,46,6,49,31,20,13,37,248,78,402,102,40,243,6,62,1274,30,223,95,344,603,2480,6570,15145
Andhra Pradesh,Nellore,2005,86,73,3,33,65,9,6,26,205,152,607,66,31,166,7,39,1961,11,205,84,166,310,972,5283,12571
Andhra Pradesh,Nizamabad,2005,88,38,16,26,32,25,15,41,292,90,404,49,21,183,10,36,2025,16,88,41,410,283,830,5059,12123
Andhra Pradesh,Prakasham,2005,106,82,6,27,43,9,10,19,181,71,335,56,22,188,10,28,1317,7,169,27,156,320,1154,4343,10691
Andhra Pradesh,Ranga Reddy,2005,62,26,4,15,14,2,7,9,138,63,97,23,13,51,3,42,867,22,45,13,119,126,366,2127,6259
Andhra Pradesh,Secunderabad Rly.,2005,11,1,0,0,0,4,2,2,0,0,407,0,0,6,10,0,16,2,1,1,0,2,43,508,3021
Andhra Pradesh,Srikakulam,2005,36,0,2,15,16,1,1,11,101,5,206,18,18,58,11,28,1200,9,51,40,137,191,531,2686,7377
Andhra Pradesh,Vijayawada,2005,41,40,4,32,49,38,3,31,456,419,1305,9,23,443,8,22,1513,8,64,122,296,242,623,5791,13587
Andhra Pradesh,Vijayawada Rly.,2005,5,2,0,0,0,1,0,0,0,0,261,0,0,3,0,0,5,0,2,0,0,4,33,316,2637
Andhra Pradesh,Visakha Rural,2005,55,17,0,18,8,0,2,12,95,0,162,47,14,47,5,17,1331,7,36,9,153,309,343,2687,7379
Andhra Pradesh,Visakhapatnam,2005,27,48,0,28,15,22,6,19,393,298,689,31,58,279,24,8,495,2,45,86,361,184,1336,4455,10914
Andhra Pradesh,Vizianagaram,2005,43,9,1,12,9,0,6,6,87,2,215,12,10,58,2,3,400,7,41,28,186,194,1229,2560,7125
Andhra Pradesh,Warangal,2005,117,93,2,34,64,18,7,29,318,181,469,249,15,300,17,45,1615,29,226,50,332,353,2120,6683,15371
Andhra Pradesh,West Godavari,2005,81,119,0,69,35,23,2,27,300,236,968,54,96,312,10,33,2404,17,232,118,410,454,1200,7200,16405
Andhra Pradesh,Adilabad,2006,99,88,14,64,71,25,10,17,228,64,326,102,19,194,5,34,1447,22,185,107,423,313,2265,6122,14250
Andhra Pradesh,Anantapur,2006,184,116,0,16,32,35,13,28,223,258,258,176,8,86,18,41,1132,16,187,11,189,396,1667,5090,12186
Andhra Pradesh,Chittoor,2006,126,59,1,31,37,28,13,19,238,194,843,95,29,181,48,22,996,18,123,190,249,563,2337,6440,14886
Andhra Pradesh,Cuddapah,2006,98,0,3,25,51,17,4,15,157,84,293,148,19,184,6,32,985,10,130,84,199,422,2332,5298,12602
Andhra Pradesh,Cyberabad,2006,193,92,11,60,90,76,13,86,1321,642,1697,49,156,1275,6,43,3871,50,132,93,837,1064,2368,14226,30457
Andhra Pradesh,East Godavari,2006,85,116,2,41,28,53,5,29,520,221,1164,89,114,319,20,39,3456,25,173,107,465,610,1375,9056,20118
Andhra Pradesh,Guntakal Rly.,2006,7,0,0,0,1,0,4,5,0,0,140,0,0,1,5,0,7,0,2,1,3,3,42,221,2448
Andhra Pradesh,Guntur,2006,155,119,4,47,35,64,3,19,303,139,1210,139,73,507,26,73,1974,15,281,236,427,505,2726,9080,20166
Andhra Pradesh,Hyderabad City,2006,125,116,6,93,77,66,12,99,1186,1691,2717,128,84,1777,13,26,4581,29,189,108,1160,582,2430,17295,36596
Andhra Pradesh,Karimnagar,2006,147,103,8,73,119,32,3,22,225,24,675,117,32,481,15,45,1775,47,371,195,698,418,2516,8141,18288
Andhra Pradesh,Khammam,2006,134,59,2,44,58,33,11,19,218,98,483,183,25,157,10,19,1202,17,171,129,327,405,2157,5961,13928
Andhra Pradesh,Krishna,2006,73,60,1,36,38,16,1,2,182,75,465,32,16,126,12,60,2423,9,168,74,296,330,772,5267,12540
Andhra Pradesh,Kurnool,2006,132,101,1,35,70,15,6,6,223,13,345,158,23,143,15,33,1268,9,341,157,157,459,2113,5823,13652
Andhra Pradesh,Mahaboobnagar,2006,191,75,17,67,62,11,9,28,190,4,734,125,32,169,3,53,2088,33,201,9,287,618,1314,6320,14646
Andhra Pradesh,Medak,2006,134,69,9,57,39,24,5,28,289,113,445,72,23,218,6,72,2057,33,107,59,276,582,885,5602,13210
Andhra Pradesh,Nalgonda,2006,132,47,4,61,71,15,14,31,209,92,429,208,20,247,5,73,1853,40,246,126,395,638,2977,7933,17872
Andhra Pradesh,Nellore,2006,78,74,5,35,49,20,8,21,192,153,511,97,25,152,8,68,2265,10,192,137,294,365,1046,5805,13616
Andhra Pradesh,Nizamabad,2006,110,83,11,36,46,25,17,43,329,121,472,139,16,208,3,28,2127,18,115,64,431,371,998,5812,13629
Andhra Pradesh,Prakasham,2006,92,111,3,23,68,15,5,30,279,102,457,99,30,266,2,30,1807,8,200,68,249,395,1437,5776,13558
